Student.num,Sibling.num,Father.num,Mother.num,Other.num,Student.inf,Sibling.inf,Father.inf,Mother.inf,Other.inf,Frequency
1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,1,0,0,0,0,0,1
1,0,0,0,2,0,0,0,0,0,7
1,0,0,0,2,1,0,0,0,0,1
1,0,0,0,3,0,0,0,0,0,1
1,0,0,1,0,0,0,0,0,0,167
1,0,0,1,0,0,0,0,1,0,5
1,0,0,1,0,1,0,0,0,0,28
1,0,0,1,0,1,0,0,1,0,4
1,0,0,1,0,1,0,1,1,0,1
1,0,0,1,1,0,0,0,0,0,34
1,0,0,1,1,0,0,0,0,1,2
1,0,0,1,1,1,0,0,0,0,3
1,0,0,1,1,1,0,0,0,1,1
1,0,0,1,1,1,0,0,1,0,3
1,0,0,1,2,0,0,0,0,0,66
1,0,0,1,2,1,0,0,0,0,13
1,0,0,1,2,1,0,0,0,1,2
1,0,0,1,2,1,0,0,1,0,4
1,0,0,1,2,1,0,0,1,1,1
1,0,0,1,3,0,0,0,0,0,17
1,0,0,1,3,0,0,0,0,1,3
1,0,0,1,3,0,0,0,1,0,1
1,0,0,1,3,1,0,0,0,0,3
1,0,0,1,3,1,0,0,1,0,1
1,0,0,1,3,1,0,0,1,3,1
1,0,0,1,4,0,0,0,0,0,5
1,0,0,1,4,0,0,0,1,1,1
1,0,0,1,4,1,0,0,0,2,1
1,0,0,1,5,0,0,0,0,0,1
1,0,1,0,0,0,0,0,0,0,11
1,0,1,0,0,1,0,0,0,0,7
1,0,1,0,1,0,0,0,0,0,10
1,0,1,0,1,1,0,0,0,0,3
1,0,1,0,2,0,0,0,0,0,10
1,0,1,0,2,0,0,0,0,1,1
1,0,1,0,2,1,0,0,0,0,1
1,0,1,0,3,0,0,0,0,0,4
1,0,1,1,0,0,0,0,0,0,661
1,0,1,1,0,0,0,0,1,0,22
1,0,1,1,0,0,0,1,0,0,21
1,0,1,1,0,0,0,1,1,0,2
1,0,1,1,0,0,1,1,0,0,1
1,0,1,1,0,1,0,0,0,0,121
1,0,1,1,0,1,0,0,1,0,33
1,0,1,1,0,1,0,1,0,0,24
1,0,1,1,0,1,0,1,1,0,14
1,0,1,1,1,0,0,0,0,0,77
1,0,1,1,1,0,0,0,0,1,1
1,0,1,1,1,0,0,0,1,0,2
1,0,1,1,1,0,0,1,0,0,2
1,0,1,1,1,1,0,0,0,0,7
1,0,1,1,1,1,0,0,0,1,1
1,0,1,1,1,1,0,0,1,0,5
1,0,1,1,1,1,0,1,1,0,2
1,0,1,1,2,0,0,0,0,0,99
1,0,1,1,2,0,0,0,0,1,3
1,0,1,1,2,0,0,0,1,0,4
1,0,1,1,2,0,0,1,0,0,4
1,0,1,1,2,0,0,1,1,0,2
1,0,1,1,2,1,0,0,0,0,18
1,0,1,1,2,1,0,0,0,1,1
1,0,1,1,2,1,0,0,0,2,1
1,0,1,1,2,1,0,0,1,0,1
1,0,1,1,2,1,0,1,0,0,1
1,0,1,1,3,0,0,0,0,0,10
1,0,1,1,3,0,0,0,1,0,2
1,0,1,1,3,1,0,0,0,0,1
1,0,1,1,3,1,0,0,0,1,1
1,0,1,1,3,1,0,0,1,0,3
1,0,1,1,3,1,0,0,1,1,1
1,0,1,1,4,0,0,0,0,0,2
1,1,0,0,0,0,0,0,0,0,2
1,1,0,0,0,0,1,0,0,0,1
1,1,0,0,0,1,0,0,0,0,1
1,1,0,0,1,0,0,0,0,0,2
1,1,0,0,1,1,0,0,0,0,1
1,1,0,0,2,0,0,0,0,0,2
1,1,0,0,2,0,1,0,0,0,1
1,1,0,0,2,1,0,0,0,0,1
1,1,0,0,3,0,1,0,0,0,1
1,1,0,0,5,0,1,0,0,2,1
1,1,0,1,0,0,0,0,0,0,308
1,1,0,1,0,0,0,0,1,0,7
1,1,0,1,0,0,1,0,0,0,31
1,1,0,1,0,0,1,0,1,0,6
1,1,0,1,0,1,0,0,0,0,42
1,1,0,1,0,1,0,0,1,0,8
1,1,0,1,0,1,1,0,0,0,19
1,1,0,1,0,1,1,0,1,0,7
1,1,0,1,0,1,1,1,1,0,1
1,1,0,1,1,0,0,0,0,0,25
1,1,0,1,1,0,0,0,1,0,4
1,1,0,1,1,0,1,0,0,0,3
1,1,0,1,1,1,0,0,0,0,3
1,1,0,1,1,1,1,0,0,0,4
1,1,0,1,2,0,0,0,0,0,53
1,1,0,1,2,0,0,0,0,1,1
1,1,0,1,2,0,0,0,1,0,4
1,1,0,1,2,0,1,0,0,0,9
1,1,0,1,2,0,1,0,0,1,1
1,1,0,1,2,1,0,0,0,0,6
1,1,0,1,2,1,0,0,0,1,2
1,1,0,1,2,1,0,0,1,0,3
1,1,0,1,2,1,1,0,0,1,1
1,1,0,1,3,0,0,0,0,0,16
1,1,0,1,3,0,1,0,0,1,1
1,1,0,1,3,0,1,0,0,3,1
1,1,0,1,3,1,0,0,0,0,2
1,1,0,1,3,1,1,0,0,0,1
1,1,0,1,3,1,1,0,1,1,2
1,1,0,1,4,0,0,0,0,0,6
1,1,0,1,4,0,0,0,1,1,1
1,1,0,1,4,1,0,0,0,1,2
1,1,0,1,5,1,0,0,0,1,1
1,1,1,0,0,0,0,0,0,0,12
1,1,1,0,0,0,1,0,0,0,3
1,1,1,0,0,1,0,0,0,0,2
1,1,1,0,1,0,0,0,0,0,11
1,1,1,0,1,1,0,0,0,0,1
1,1,1,0,1,1,1,0,0,0,1
1,1,1,0,2,0,0,0,0,0,6
1,1,1,0,2,0,1,0,0,0,3
1,1,1,0,2,1,0,0,0,0,1
1,1,1,0,2,1,1,0,0,0,2
1,1,1,0,3,0,0,0,0,0,6
1,1,1,0,3,0,0,0,1,0,1
1,1,1,0,3,0,1,0,0,1,1
1,1,1,0,3,1,0,0,0,0,1
1,1,1,0,3,1,0,0,0,1,1
1,1,1,1,0,0,0,0,0,0,2496
1,1,1,1,0,0,0,0,0,2,1
1,1,1,1,0,0,0,0,1,0,74
1,1,1,1,0,0,0,1,0,0,80
1,1,1,1,0,0,0,1,1,0,7
1,1,1,1,0,0,1,0,0,0,368
1,1,1,1,0,0,1,0,0,1,2
1,1,1,1,0,0,1,0,1,0,54
1,1,1,1,0,0,1,1,0,0,22
1,1,1,1,0,0,1,1,1,0,19
1,1,1,1,0,1,0,0,0,0,394
1,1,1,1,0,1,0,0,1,0,63
1,1,1,1,0,1,0,1,0,0,31
1,1,1,1,0,1,0,1,1,0,12
1,1,1,1,0,1,1,0,0,0,155
1,1,1,1,0,1,1,0,1,0,63
1,1,1,1,0,1,1,1,0,0,23
1,1,1,1,0,1,1,1,1,0,51
1,1,1,1,1,0,0,0,0,0,274
1,1,1,1,1,0,0,0,1,0,4
1,1,1,1,1,0,0,1,0,0,10
1,1,1,1,1,0,0,1,0,1,1
1,1,1,1,1,0,0,1,1,0,2
1,1,1,1,1,0,1,0,0,0,38
1,1,1,1,1,0,1,0,0,1,1
1,1,1,1,1,0,1,0,1,0,3
1,1,1,1,1,0,1,1,0,0,3
1,1,1,1,1,0,1,1,1,1,2
1,1,1,1,1,1,0,0,0,0,42
1,1,1,1,1,1,0,0,0,1,1
1,1,1,1,1,1,0,0,1,0,4
1,1,1,1,1,1,0,0,1,1,1
1,1,1,1,1,1,0,1,0,0,5
1,1,1,1,1,1,0,1,1,1,1
1,1,1,1,1,1,1,0,0,0,15
1,1,1,1,1,1,1,0,0,2,1
1,1,1,1,1,1,1,0,1,0,2
1,1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,0,2
1,1,1,1,1,1,1,1,1,1,2
1,1,1,1,2,0,0,0,0,0,358
1,1,1,1,2,0,0,0,0,1,4
1,1,1,1,2,0,0,0,0,2,2
1,1,1,1,2,0,0,0,1,0,10
1,1,1,1,2,0,0,1,0,0,12
1,1,1,1,2,0,0,1,1,0,3
1,1,1,1,2,0,1,0,0,0,58
1,1,1,1,2,0,1,0,0,1,3
1,1,1,1,2,0,1,0,1,0,5
1,1,1,1,2,0,1,0,1,2,1
1,1,1,1,2,0,1,1,0,0,3
1,1,1,1,2,0,1,1,0,2,1
1,1,1,1,2,0,1,1,1,0,2
1,1,1,1,2,0,1,1,1,1,1
1,1,1,1,2,1,0,0,0,0,69
1,1,1,1,2,1,0,0,0,1,4
1,1,1,1,2,1,0,0,1,0,8
1,1,1,1,2,1,0,0,1,2,1
1,1,1,1,2,1,0,1,0,0,3
1,1,1,1,2,1,0,1,0,1,1
1,1,1,1,2,1,0,1,1,0,2
1,1,1,1,2,1,0,1,1,3,1
1,1,1,1,2,1,1,0,0,0,22
1,1,1,1,2,1,1,0,0,1,5
1,1,1,1,2,1,1,0,1,0,10
1,1,1,1,2,1,1,0,1,1,2
1,1,1,1,2,1,1,0,1,2,2
1,1,1,1,2,1,1,1,0,0,5
1,1,1,1,2,1,1,1,0,1,2
1,1,1,1,2,1,1,1,1,0,1
1,1,1,1,2,1,1,1,1,1,3
1,1,1,1,2,1,1,1,1,2,2
1,1,1,1,3,0,0,0,0,0,42
1,1,1,1,3,0,0,0,0,1,3
1,1,1,1,3,0,0,0,1,0,3
1,1,1,1,3,0,0,1,0,0,1
1,1,1,1,3,0,0,1,1,0,1
1,1,1,1,3,0,1,0,0,0,6
1,1,1,1,3,0,1,0,1,0,1
1,1,1,1,3,1,0,0,0,0,6
1,1,1,1,3,1,0,0,0,1,1
1,1,1,1,3,1,0,1,1,0,1
1,1,1,1,3,1,1,0,0,0,2
1,1,1,1,3,1,1,0,0,1,1
1,1,1,1,3,1,1,0,1,0,1
1,1,1,1,3,1,1,1,1,0,1
1,1,1,1,4,0,0,0,0,0,2
1,1,1,1,4,0,1,1,0,0,1
1,1,1,1,4,1,0,0,0,0,1
1,2,0,0,0,0,0,0,0,0,4
1,2,0,0,0,0,0,0,1,0,1
1,2,0,0,0,1,0,0,0,0,1
1,2,0,0,1,0,1,0,0,0,1
1,2,0,0,2,0,0,0,0,0,1
1,2,0,0,2,0,1,0,0,0,1
1,2,0,1,0,0,0,0,0,0,100
1,2,0,1,0,0,0,0,1,0,1
1,2,0,1,0,0,1,0,0,0,26
1,2,0,1,0,0,1,0,0,1,1
1,2,0,1,0,0,1,0,1,0,2
1,2,0,1,0,0,2,0,1,0,1
1,2,0,1,0,1,0,0,0,0,19
1,2,0,1,0,1,0,0,1,0,1
1,2,0,1,0,1,0,1,1,0,1
1,2,0,1,0,1,1,0,0,0,3
1,2,0,1,0,1,1,1,0,0,2
1,2,0,1,0,1,2,0,0,0,2
1,2,0,1,0,1,2,0,1,0,1
1,2,0,1,1,0,0,0,0,0,12
1,2,0,1,1,0,0,0,1,0,2
1,2,0,1,1,0,1,0,0,0,1
1,2,0,1,1,1,0,0,0,0,2
1,2,0,1,1,1,1,0,0,0,3
1,2,0,1,1,1,1,0,1,0,1
1,2,0,1,2,0,0,0,0,0,9
1,2,0,1,2,0,1,0,0,0,2
1,2,0,1,2,1,1,0,0,0,2
1,2,0,1,2,1,1,0,1,1,1
1,2,0,1,2,1,2,0,1,0,1
1,2,0,1,2,1,2,0,1,1,1
1,2,0,1,3,0,0,0,0,0,2
1,2,0,1,3,1,0,0,0,0,1
1,2,1,0,0,0,0,0,0,0,6
1,2,1,0,0,0,1,0,0,0,1
1,2,1,0,0,1,0,0,0,0,1
1,2,1,0,0,1,1,1,0,0,1
1,2,1,0,1,0,0,0,0,0,4
1,2,1,0,1,0,1,0,0,0,1
1,2,1,0,2,0,0,0,0,0,2
